bin,py_i,py_q,rtl_i,rtl_q,py_mag,rtl_mag,diff_i,diff_q
687,-13778,-28012,-13778,-28012,41790,41790,0,0
688,-13347,-28220,-13347,-28220,41567,41567,0,0
689,-12912,-28421,-12912,-28421,41333,41333,0,0
690,-12475,-28616,-12475,-28616,41091,41091,0,0
691,-12034,-28804,-12034,-28804,40838,40838,0,0
692,-11592,-28984,-11592,-28984,40576,40576,0,0
693,-11144,-29160,-11144,-29160,40304,40304,0,0
694,-10697,-29327,-10697,-29327,40024,40024,0,0
695,-10246,-29488,-10246,-29488,39734,39734,0,0
696,-9792,-29640,-9792,-29640,39432,39432,0,0
697,-9336,-29788,-9336,-29788,39124,39124,0,0
698,-8878,-29928,-8878,-29928,38806,38806,0,0
699,-8419,-30060,-8419,-30060,38479,38479,0,0
700,-7956,-30186,-7956,-30186,38142,38142,0,0
701,-7492,-30304,-7492,-30304,37796,37796,0,0
702,-7026,-30416,-7026,-30416,37442,37442,0,0
703,-6558,-30520,-6558,-30520,37078,37078,0,0
704,-6091,-30618,-6091,-30618,36709,36709,0,0
705,-5620,-30707,-5620,-30707,36327,36327,0,0
706,-5149,-30790,-5149,-30790,35939,35939,0,0
707,-4675,-30864,-4675,-30864,35539,35539,0,0
708,-4202,-30932,-4202,-30932,35134,35134,0,0
709,-3726,-30994,-3726,-30994,34720,34720,0,0
710,-3251,-31048,-3251,-31048,34299,34299,0,0
711,-2774,-31093,-2774,-31093,33867,33867,0,0
712,-2296,-31132,-2296,-31132,33428,33428,0,0
713,-1819,-31164,-1819,-31164,32983,32983,0,0
714,-1340,-31190,-1340,-31190,32530,32530,0,0
715,-862,-31205,-862,-31205,32067,32067,0,0
716,-382,-31215,-382,-31215,31597,31597,0,0
717,95,-31216,95,-31216,31311,31311,0,0
718,574,-31212,574,-31212,31786,31786,0,0
719,1053,-31198,1053,-31198,32251,32251,0,0
720,1532,-31180,1532,-31180,32712,32712,0,0
721,2010,-31152,2010,-31152,33162,33162,0,0
722,2487,-31116,2487,-31116,33603,33603,0,0
723,2964,-31076,2964,-31076,34040,34040,0,0
724,3440,-31026,3440,-31026,34466,34466,0,0
725,3917,-30970,3917,-30970,34887,34887,0,0
726,4390,-30906,4390,-30906,35296,35296,0,0
727,4864,-30836,4864,-30836,35700,35700,0,0
728,5337,-30758,5337,-30758,36095,36095,0,0
729,5808,-30672,5808,-30672,36480,36480,0,0
730,6277,-30579,6277,-30579,36856,36856,0,0
731,6746,-30480,6746,-30480,37226,37226,0,0
732,7213,-30372,7213,-30372,37585,37585,0,0
733,7678,-30258,7678,-30258,37936,37936,0,0
734,8141,-30137,8141,-30137,38278,38278,0,0
735,8602,-30008,8602,-30008,38610,38610,0,0
736,9062,-29872,9062,-29872,38934,38934,0,0
737,9518,-29730,9518,-29730,39248,39248,0,0
738,9973,-29580,9973,-29580,39553,39553,0,0
739,10426,-29425,10426,-29425,39851,39851,0,0
740,10876,-29261,10876,-29261,40137,40137,0,0
741,11324,-29090,11324,-29090,40414,40414,0,0
742,11769,-28913,11769,-28913,40682,40682,0,0
743,12210,-28730,12210,-28730,40940,40940,0,0
744,12650,-28538,12650,-28538,41188,41188,0,0
745,13086,-28342,13086,-28342,41428,41428,0,0
746,13520,-28138,13520,-28138,41658,41658,0,0
