bin,py_i,py_q,rtl_i,rtl_q,py_mag,rtl_mag,diff_i,diff_q
1438,0,-1,0,-1,1,1,0,0
1439,1,-1,1,-1,2,2,0,0
1440,0,0,0,0,0,0,0,0
1441,-1,0,-1,0,1,1,0,0
1442,-1,0,-1,0,1,1,0,0
1443,0,-2,0,-2,2,2,0,0
1444,0,0,0,0,0,0,0,0
1445,1,0,1,0,1,1,0,0
1446,0,0,0,0,0,0,0,0
1447,-2,-1,-2,-1,3,3,0,0
1448,-1,0,-1,0,1,1,0,0
1449,0,0,0,0,0,0,0,0
1450,0,0,0,0,0,0,0,0
1451,1,0,1,0,1,1,0,0
1452,0,1,0,1,1,1,0,0
1453,1,1,1,1,2,2,0,0
1454,0,1,0,1,1,1,0,0
1455,-1,1,-1,1,2,2,0,0
1456,0,1,0,1,1,1,0,0
1457,-1,1,-1,1,2,2,0,0
1458,-3,1,-3,1,4,4,0,0
1459,-2,0,-2,0,2,2,0,0
1460,-2,1,-2,1,3,3,0,0
1461,-2,1,-2,1,3,3,0,0
1462,-1,0,-1,0,1,1,0,0
1463,-2,0,-2,0,2,2,0,0
1464,-2,0,-2,0,2,2,0,0
1465,-1,0,-1,0,1,1,0,0
1466,0,1,0,1,1,1,0,0
1467,-1,1,-1,1,2,2,0,0
1468,-2,0,-2,0,2,2,0,0
1469,-3,0,-3,0,3,3,0,0
1470,-1,-1,-1,-1,2,2,0,0
1471,0,-1,0,-1,1,1,0,0
1472,-2,0,-2,0,2,2,0,0
1473,-1,-1,-1,-1,2,2,0,0
1474,-1,-1,-1,-1,2,2,0,0
1475,0,-2,0,-2,2,2,0,0
1476,0,-2,0,-2,2,2,0,0
1477,-1,-2,-1,-2,3,3,0,0
1478,0,-2,0,-2,2,2,0,0
1479,-1,-1,-1,-1,2,2,0,0
1480,0,-1,0,-1,1,1,0,0
1481,-1,0,-1,0,1,1,0,0
1482,0,-1,0,-1,1,1,0,0
1483,0,-2,0,-2,2,2,0,0
1484,1,-3,1,-3,4,4,0,0
1485,0,-2,0,-2,2,2,0,0
1486,1,0,1,0,1,1,0,0
1487,0,-2,0,-2,2,2,0,0
1488,0,-1,0,-1,1,1,0,0
1489,1,0,1,0,1,1,0,0
1490,0,1,0,1,1,1,0,0
1491,0,0,0,0,0,0,0,0
1492,-1,1,-1,1,2,2,0,0
1493,0,1,0,1,1,1,0,0
1494,0,0,0,0,0,0,0,0
1495,0,-1,0,-1,1,1,0,0
1496,-1,1,-1,1,2,2,0,0
1497,-1,1,-1,1,2,2,0,0
1498,-1,2,-1,2,3,3,0,0
1499,-1,0,-1,0,1,1,0,0
1500,0,1,0,1,1,1,0,0
