bin,out_i,out_q
1021,-31185,1436
1022,-31202,957
1023,-31214,479
1024,-31217,0
1025,-31214,-479
1026,-31201,-957
1027,-31184,-1436
1028,-31158,-1914
1029,-31124,-2392
1030,-31084,-2868
1031,-31036,-3345
1032,-30981,-3821
1033,-30920,-4296
1034,-30851,-4769
1035,-30773,-5243
1036,-30689,-5714
1037,-30598,-6184
1038,-30500,-6652
1039,-30393,-7120
1040,-30281,-7586
1041,-30161,-8048
1042,-30034,-8510
1043,-29899,-8970
1044,-29758,-9427
1045,-29611,-9883
1046,-29456,-10336
1047,-29293,-10786
1048,-29124,-11234
1049,-28949,-11680
1050,-28766,-12122
1051,-28578,-12562
1052,-28381,-12999
1053,-28178,-13433
1054,-27968,-13864
1055,-27752,-14292
1056,-27530,-14715
1057,-27302,-15136
1058,-27066,-15554
1059,-26824,-15966
1060,-26576,-16376
1061,-26322,-16782
1062,-26062,-17182
1063,-25795,-17580
1064,-25522,-17974
1065,-25243,-18364
1066,-24958,-18749
1067,-24668,-19129
1068,-24372,-19506
1069,-24070,-19876
1070,-23762,-20244
1071,-23449,-20606
1072,-23130,-20963
1073,-22805,-21315
1074,-22476,-21664
1075,-22141,-22006
1076,-21802,-22342
1077,-21455,-22675
1078,-21105,-23000
1079,-20750,-23322
1080,-20390,-23638
1081,-20024,-23946
1082,-19655,-24252
1083,-19281,-24550
1084,-18902,-24843
1085,-18519,-25130
1086,-18130,-25411
1087,-17738,-25687
1088,-17342,-25956
1089,-16944,-26218
1090,-16538,-26476
1091,-16130,-26726
1092,-15719,-26970
1093,-15303,-27209
1094,-14884,-27439
1095,-14461,-27664
1096,-14035,-27883
1097,-13606,-28095
1098,-13173,-28300
1099,-12738,-28499
1100,-12298,-28692
1101,-11858,-28877
1102,-11413,-29056
1103,-10966,-29226
1104,-10516,-29392
1105,-10064,-29549
1106,-9610,-29700
1107,-9152,-29844
1108,-8695,-29981
1109,-8233,-30111
1110,-7771,-30234
1111,-7306,-30350
1112,-6840,-30458
1113,-6371,-30559
1114,-5902,-30653
1115,-5430,-30740
1116,-4959,-30820
1117,-4485,-30892
1118,-4012,-30958
1119,-3535,-31016
1120,-3059,-31066
1121,-2583,-31110
1122,-2106,-31145
1123,-1627,-31174
1124,-1148,-31196
1125,-669,-31209
1126,-192,-31216
1127,288,-31216
1128,766,-31207
1129,1245,-31192
1130,1723,-31170
1131,2202,-31138
1132,2678,-31102
1133,3155,-31056
1134,3632,-31005
1135,4107,-30945
1136,4580,-30879
1137,5053,-30805
1138,5526,-30724
1139,5996,-30636
1140,6466,-30540
1141,6934,-30438
1142,7400,-30327
1143,7864,-30209
1144,8326,-30085
1145,8786,-29954
1146,9246,-29816
1147,9702,-29671
1148,10156,-29518
1149,10607,-29360
1150,11056,-29192
1151,11502,-29020
1152,11946,-28841
1153,12388,-28654
1154,12826,-28460
1155,13260,-28260
1156,13693,-28054
1157,14120,-27840
1158,14546,-27620
1159,14968,-27394
1160,15388,-27160
1161,15802,-26922
1162,16213,-26677
1163,16620,-26424
1164,17024,-26166
1165,17422,-25903
1166,17818,-25632
1167,18210,-25355
1168,18597,-25072
1169,18978,-24786
1170,19356,-24491
1171,19730,-24191
1172,20098,-23886
1173,20462,-23576
1174,20822,-23258
1175,21176,-22935
1176,21526,-22608
1177,21870,-22276
1178,22208,-21937
1179,22542,-21594
1180,22871,-21246
1181,23196,-20893
1182,23512,-20534
1183,23825,-20170
1184,24130,-19804
1185,24432,-19431
1186,24728,-19054
1187,25018,-18673
1188,25300,-18286
1189,25578,-17897
1190,25849,-17502
1191,26114,-17104
1192,26374,-16700
1193,26627,-16294
1194,26874,-15884
1195,27114,-15470
1196,27348,-15052
1197,27576,-14630
1198,27796,-14206
1199,28012,-13778
1200,28220,-13346
1201,28421,-12912
1202,28616,-12474
1203,28804,-12034
1204,28984,-11592
1205,29160,-11144
1206,29327,-10696
1207,29488,-10245
1208,29640,-9792
1209,29788,-9336
1210,29928,-8877
1211,30060,-8418
1212,30186,-7956
1213,30304,-7492
1214,30416,-7026
1215,30520,-6558
1216,30618,-6090
1217,30707,-5620
1218,30790,-5148
1219,30864,-4674
1220,30932,-4201
1221,30994,-3726
1222,31048,-3250
1223,31093,-2774
1224,31132,-2296
1225,31164,-1818
1226,31190,-1340
1227,31205,-862
1228,31215,-382
1229,31216,96
1230,31212,574
1231,31198,1054
1232,31180,1532
1233,31152,2010
1234,31116,2488
1235,31076,2965
1236,31026,3441
1237,30970,3918
1238,30906,4390
1239,30836,4865
1240,30758,5338
1241,30672,5808
1242,30579,6278
1243,30480,6746
1244,30372,7214
1245,30258,7678
1246,30137,8142
1247,30008,8602
1248,29872,9062
1249,29730,9519
1250,29580,9974
1251,29425,10426
1252,29261,10877
1253,29090,11324
1254,28913,11770
1255,28730,12211
1256,28538,12651
1257,28342,13087
1258,28138,13520
1259,27926,13950
1260,27710,14376
1261,27486,14800
1262,27256,15221
1263,27018,15637
1264,26776,16048
1265,26526,16457
1266,26271,16864
1267,26009,17264
1268,25741,17660
1269,25468,18054
1270,25188,18442
1271,24902,18826
1272,24610,19206
1273,24312,19582
1274,24008,19952
1275,23700,20318
1276,23386,20680
1277,23066,21036
1278,22740,21386
1279,22410,21734
1280,22074,22074
1281,21734,22410
1282,21386,22740
1283,21036,23066
1284,20679,23386
1285,20318,23700
1286,19952,24008
1287,19582,24312
1288,19206,24610
1289,18826,24902
1290,18442,25188
1291,18054,25468
1292,17660,25741
1293,17264,26009
1294,16864,26271
1295,16457,26526
1296,16048,26776
1297,15636,27018
1298,15221,27256
1299,14800,27485
1300,14376,27710
1301,13950,27926
1302,13520,28138
1303,13087,28342
1304,12651,28538
1305,12211,28730
1306,11770,28913
1307,11324,29090
1308,10876,29260
1309,10426,29425
1310,9974,29580
1311,9519,29730
1312,9062,29872
1313,8602,30008
1314,8141,30136
1315,7678,30258
1316,7214,30372
1317,6746,30480
1318,6278,30579
1319,5808,30672
1320,5337,30757
1321,4865,30836
1322,4390,30906
1323,3918,30970
1324,3441,31026
1325,2965,31076
1326,2488,31116
1327,2010,31152
1328,1532,31180
1329,1054,31198
1330,574,31212
1331,96,31216
1332,-382,31214
1333,-862,31205
1334,-1340,31189
1335,-1818,31164
1336,-2296,31132
1337,-2774,31093
1338,-3250,31048
1339,-3726,30994
1340,-4201,30932
1341,-4674,30864
1342,-5148,30790
1343,-5620,30707
1344,-6090,30618
1345,-6558,30520
1346,-7026,30416
1347,-7492,30304
1348,-7956,30186
1349,-8418,30060
1350,-8877,29928
1351,-9336,29788
1352,-9792,29640
1353,-10245,29488
1354,-10696,29327
1355,-11144,29160
1356,-11592,28984
1357,-12034,28804
1358,-12474,28616
1359,-12912,28421
1360,-13347,28220
1361,-13778,28012
1362,-14206,27796
1363,-14630,27575
1364,-15052,27348
1365,-15470,27114
1366,-15884,26874
1367,-16294,26627
1368,-16700,26374
1369,-17104,26114
1370,-17502,25849
1371,-17897,25578
1372,-18286,25300
1373,-18673,25018
1374,-19054,24728
1375,-19431,24432
1376,-19804,24130
1377,-20170,23825
1378,-20534,23512
1379,-20893,23196
1380,-21246,22871
1381,-21594,22542
1382,-21937,22208
1383,-22276,21870
1384,-22608,21525
1385,-22935,21176
1386,-23258,20822
1387,-23576,20462
1388,-23886,20098
