bin,py_i,py_q,rtl_i,rtl_q,py_mag,rtl_mag,diff_i,diff_q
235,16,-1,16,-1,17,17,0,0
236,16,-1,16,-1,17,17,0,0
237,16,-1,16,-1,17,17,0,0
238,16,-1,16,-1,17,17,0,0
239,16,-1,16,-1,17,17,0,0
240,16,-1,16,-1,17,17,0,0
241,16,-1,16,-1,17,17,0,0
242,16,-1,16,-1,17,17,0,0
243,16,-1,16,-1,17,17,0,0
244,16,-1,16,-1,17,17,0,0
245,16,-1,16,-1,17,17,0,0
246,16,-1,16,-1,17,17,0,0
247,16,-1,16,-1,17,17,0,0
248,16,-1,16,-1,17,17,0,0
249,16,-1,16,-1,17,17,0,0
250,16,-1,16,-1,17,17,0,0
251,16,-1,16,-1,17,17,0,0
252,16,-1,16,-1,17,17,0,0
253,16,-1,16,-1,17,17,0,0
254,16,-1,16,-1,17,17,0,0
255,16,-1,16,-1,17,17,0,0
256,16,0,16,0,16,16,0,0
257,16,-1,16,-1,17,17,0,0
258,16,-1,16,-1,17,17,0,0
259,16,0,16,0,16,16,0,0
260,16,-1,16,-1,17,17,0,0
261,16,-1,16,-1,17,17,0,0
262,16,-1,16,-1,17,17,0,0
263,16,0,16,0,16,16,0,0
264,16,0,16,0,16,16,0,0
265,16,0,16,0,16,16,0,0
266,16,-1,16,-1,17,17,0,0
267,16,-1,16,-1,17,17,0,0
268,16,-1,16,-1,17,17,0,0
269,16,0,16,0,16,16,0,0
270,16,-1,16,-1,17,17,0,0
271,16,0,16,0,16,16,0,0
272,16,0,16,0,16,16,0,0
273,16,0,16,0,16,16,0,0
274,16,-1,16,-1,17,17,0,0
275,16,0,16,0,16,16,0,0
276,16,-1,16,-1,17,17,0,0
277,16,-1,16,-1,17,17,0,0
278,16,-1,16,-1,17,17,0,0
279,16,0,16,0,16,16,0,0
280,16,-1,16,-1,17,17,0,0
281,16,0,16,0,16,16,0,0
282,16,-1,16,-1,17,17,0,0
283,16,-1,16,-1,17,17,0,0
284,16,-1,16,-1,17,17,0,0
285,16,0,16,0,16,16,0,0
286,16,-1,16,-1,17,17,0,0
287,16,-1,16,-1,17,17,0,0
288,16,0,16,0,16,16,0,0
289,16,-1,16,-1,17,17,0,0
290,16,-1,16,-1,17,17,0,0
291,16,-1,16,-1,17,17,0,0
292,16,-1,16,-1,17,17,0,0
293,16,-1,16,-1,17,17,0,0
294,16,-1,16,-1,17,17,0,0
295,16,-1,16,-1,17,17,0,0
296,16,-1,16,-1,17,17,0,0
297,16,-1,16,-1,17,17,0,0
298,16,-1,16,-1,17,17,0,0
299,16,-1,16,-1,17,17,0,0
300,16,-1,16,-1,17,17,0,0
301,16,-1,16,-1,17,17,0,0
302,16,-1,16,-1,17,17,0,0
303,16,-1,16,-1,17,17,0,0
304,16,-1,16,-1,17,17,0,0
305,16,-1,16,-1,17,17,0,0
306,16,-1,16,-1,17,17,0,0
307,16,-1,16,-1,17,17,0,0
308,16,-1,16,-1,17,17,0,0
309,16,-1,16,-1,17,17,0,0
310,16,-1,16,-1,17,17,0,0
311,16,-1,16,-1,17,17,0,0
312,16,-1,16,-1,17,17,0,0
313,16,-1,16,-1,17,17,0,0
314,16,-1,16,-1,17,17,0,0
315,16,-1,16,-1,17,17,0,0
316,16,-1,16,-1,17,17,0,0
317,16,-1,16,-1,17,17,0,0
318,16,-1,16,-1,17,17,0,0
319,16,-1,16,-1,17,17,0,0
320,16,0,16,0,16,16,0,0
321,16,-1,16,-1,17,17,0,0
322,16,-1,16,-1,17,17,0,0
323,16,-1,16,-1,17,17,0,0
324,16,-1,16,-1,17,17,0,0
325,16,-1,16,-1,17,17,0,0
326,16,-1,16,-1,17,17,0,0
327,16,-1,16,-1,17,17,0,0
328,16,-1,16,-1,17,17,0,0
329,16,-1,16,-1,17,17,0,0
330,16,-1,16,-1,17,17,0,0
331,16,-1,16,-1,17,17,0,0
332,16,-1,16,-1,17,17,0,0
333,16,-1,16,-1,17,17,0,0
334,16,-1,16,-1,17,17,0,0
335,16,-1,16,-1,17,17,0,0
336,16,-1,16,-1,17,17,0,0
337,16,-1,16,-1,17,17,0,0
338,16,-1,16,-1,17,17,0,0
339,16,-1,16,-1,17,17,0,0
340,16,-1,16,-1,17,17,0,0
341,16,-1,16,-1,17,17,0,0
342,16,-1,16,-1,17,17,0,0
343,16,-1,16,-1,17,17,0,0
